car,MPO,Cylinder,Displacement,Horsepower,weight,Accelarate,Model,origin
Audi,16.2,4.0,4754,196,2186,13.9,71,US
Hyundai,23.0,6.0,3911,137,3735,11.9,77,South Korea
Toyota,23.8,6.0,4288,179,4143,8.5,73,South Korea
Kia,17.0,8.0,2868,185,4105,17.5,71,Japan
Kia,17.2,4.0,1347,283,2904,12.8,75,US
Hyundai,23.8,4.0,3524,212,2067,9.7,75,Germany
Kia,18.8,4.0,1431,189,4266,12.5,79,Japan
Toyota,10.5,4.0,3150,282,4082,14.5,73,US
Jaguar,23.7,6.0,1565,148,3656,7.8,75,South Korea
Hyundai,13.7,4.0,4499,283,3798,10.0,71,US
Ford,18.7,6.0,2874,185,3180,15.9,79,US
Audi,12.5,6.0,1635,161,3036,12.1,71,US
Kia,10.5,4.0,1598,83,2373,13.0,79,Germany
Kia,14.7,4.0,2434,224,1848,11.8,73,US
Maruthi,21.7,4.0,2614,194,2950,7.5,77,Germany
Honda,14.2,4.0,3746,237,2022,8.8,76,South Korea
Hyundai,13.3,4.0,3787,127,3231,11.9,78,Germany
BMW,13.2,8.0,1762,97,3328,9.3,77,South Korea
Kia,17.7,4.0,4762,95,3619,7.5,74,South Korea
Audi,24.6,8.0,3689,182,4124,16.3,71,Germany
Ford,16.9,4.0,2484,260,3261,17.8,74,Japan
Kia,18.4,8.0,1972,135,2930,15.7,77,India
Ford,22.9,6.0,3597,222,3481,16.4,79,US
Toyota,18.0,6.0,3237,200,4267,9.7,78,India
Toyota,12.8,6.0,4623,269,4458,17.6,78,US
Honda,14.5,6.0,3767,113,2174,9.2,70,US
Jaguar,14.6,6.0,2543,166,3920,17.5,78,South Korea
BMW,16.0,6.0,3385,111,3821,17.9,76,US
Maruthi,16.4,6.0,2773,296,2853,14.8,78,US
Honda,22.0,4.0,4894,75,3689,17.8,77,Germany
Tata,15.2,4.0,2191,236,3623,13.3,70,India
Maruthi,17.0,6.0,3615,249,3274,9.9,77,Germany
Hyundai,19.4,6.0,4491,92,4042,11.8,77,US
Audi,15.7,6.0,4608,158,2979,13.5,80,South Korea
Tata,22.5,6.0,2446,192,2864,7.8,72,Germany
Tata,18.8,8.0,4919,247,3870,13.8,70,Germany
Honda,14.4,4.0,1559,240,2159,17.8,77,Japan
Jaguar,20.7,4.0,2120,216,4407,9.1,72,US
Honda,17.9,4.0,3576,266,3841,15.7,72,South Korea
Hyundai,18.0,6.0,4209,120,2941,17.0,70,Germany
Kia,17.2,8.0,3710,80,3435,17.4,80,Germany
Kia,17.5,4.0,4193,81,3203,17.6,74,South Korea
Jaguar,21.5,6.0,2162,143,3743,12.7,79,US
Hyundai,11.5,4.0,4832,77,2478,17.8,76,Japan
Jaguar,15.0,6.0,3027,221,4287,15.3,79,Germany
Ford,11.1,6.0,4653,289,1806,8.8,78,Japan
Kia,21.3,4.0,4083,110,4268,12.2,76,India
Tata,14.1,6.0,2813,233,3391,14.9,78,US
BMW,23.5,4.0,2840,298,2632,9.7,77,India
Audi,17.9,4.0,3416,154,4406,14.0,71,India
Hyundai,22.0,4.0,1416,141,3610,14.3,70,India
Maruthi,24.7,4.0,1577,124,2713,8.8,76,US
Jaguar,22.6,4.0,1318,206,3811,13.2,76,US
Audi,23.0,6.0,1389,116,3242,15.5,77,South Korea
Maruthi,16.1,6.0,4014,212,3250,12.5,74,Japan
Audi,18.3,6.0,1569,245,3302,7.1,72,Japan
BMW,13.8,4.0,3001,173,1925,7.1,77,South Korea
Maruthi,12.9,6.0,3396,279,4242,10.9,75,South Korea
Honda,17.6,4.0,4947,111,2616,17.2,80,India
Toyota,18.9,4.0,1851,129,3629,9.5,72,South Korea
Honda,15.1,8.0,3082,281,2375,14.0,70,Germany
Kia,18.5,4.0,2711,267,4172,9.4,72,Japan
Toyota,23.3,6.0,1969,81,3215,10.5,74,South Korea
Honda,18.4,6.0,3621,199,2729,16.3,72,Germany
Toyota,20.8,4.0,1980,76,3263,15.0,70,Germany
Toyota,22.1,4.0,2916,149,2632,8.0,74,Germany
Tata,24.8,4.0,3407,200,2854,11.7,79,Germany
Jaguar,19.0,8.0,3598,178,3448,7.3,76,India
Jaguar,22.1,4.0,2511,72,3700,12.3,76,Germany
Tata,24.4,4.0,4559,96,3257,14.3,80,India
Audi,24.2,4.0,4139,183,3199,8.3,78,India
Ford,12.1,6.0,2449,176,2242,10.2,79,Germany
Audi,16.1,4.0,1722,109,3922,11.4,79,Japan
Maruthi,14.9,4.0,1721,299,2356,17.1,72,Germany
Maruthi,11.3,6.0,1982,230,2978,17.9,76,Germany
Toyota,19.5,8.0,3520,289,3837,7.5,70,Germany
Honda,21.0,4.0,2135,198,2162,15.4,73,Japan
Honda,22.7,4.0,4673,77,4295,11.1,73,US
Jaguar,11.8,4.0,3430,170,3057,11.3,74,US
Hyundai,23.1,6.0,2888,229,3641,15.3,76,India
Audi,19.6,4.0,1687,193,4109,17.1,76,India
Kia,20.6,6.0,3050,245,3650,17.5,80,Japan
BMW,23.7,6.0,2045,176,3972,13.3,73,South Korea
Honda,19.4,6.0,3371,170,2710,10.9,76,US
BMW,15.0,4.0,4232,73,2044,15.7,80,India
Toyota,22.4,8.0,4897,291,2341,9.8,72,US
BMW,15.4,6.0,4037,267,4332,13.2,75,Japan
Kia,10.5,6.0,3661,179,3969,10.9,71,Japan
Tata,22.5,4.0,3203,88,3972,14.2,79,South Korea
Kia,15.2,8.0,2948,101,3372,9.6,78,South Korea
BMW,21.6,4.0,4443,206,4017,9.1,74,Japan
Kia,15.4,4.0,4559,81,1923,17.1,75,India
Ford,22.9,4.0,4706,208,4493,8.1,73,US
Toyota,13.3,6.0,1885,115,3531,12.6,80,Germany
Audi,24.6,4.0,3360,188,2585,9.4,79,South Korea
Tata,21.7,4.0,4135,85,3843,7.4,76,Germany
Honda,11.7,4.0,3369,198,4048,7.4,78,India
Maruthi,18.5,4.0,2767,132,4216,8.9,76,South Korea
Audi,24.8,6.0,2445,178,2596,16.5,70,Germany
Maruthi,17.1,6.0,4902,188,1876,10.1,70,India
Toyota,12.7,4.0,1238,90,1858,17.5,78,US
Tata,17.3,6.0,3744,227,4278,13.4,80,India
Jaguar,17.7,6.0,1979,82,4485,11.8,78,South Korea
Honda,21.1,4.0,2456,231,3323,13.4,73,Japan
Ford,20.5,4.0,4190,73,3736,12.7,78,US
Jaguar,16.0,8.0,4801,225,3956,15.3,72,Germany
Toyota,13.3,6.0,3396,171,3101,10.1,76,South Korea
Audi,19.7,4.0,4668,292,1867,10.9,75,Japan
Ford,16.3,6.0,4269,128,4152,16.8,77,India
Kia,12.0,4.0,3908,197,3732,17.4,80,Japan
BMW,23.5,6.0,4909,96,2164,16.8,78,South Korea
Ford,20.4,4.0,3127,138,2620,11.6,74,South Korea
Toyota,20.2,4.0,1501,94,3202,15.6,70,Japan
Hyundai,22.3,4.0,4631,200,4190,12.2,72,India
BMW,17.9,8.0,3485,166,2746,12.5,79,Japan
Maruthi,22.2,6.0,1846,265,3377,9.3,77,South Korea
Honda,17.5,4.0,1862,94,3177,13.5,80,South Korea
Maruthi,11.0,4.0,3483,217,3239,9.0,75,Germany
Ford,16.1,6.0,2959,231,2561,10.6,77,Germany
Maruthi,17.5,4.0,3450,223,2140,16.4,78,US
Toyota,20.8,4.0,1455,195,2182,9.3,73,South Korea
Kia,11.6,8.0,1797,202,2803,7.8,70,Germany
Audi,12.1,4.0,1861,296,3356,7.8,70,Japan
Honda,14.0,6.0,1434,258,2099,17.3,79,India
Maruthi,14.0,8.0,2568,289,1938,12.6,73,Japan
Maruthi,21.0,4.0,3781,290,2158,11.5,76,India
Ford,13.8,4.0,4107,78,2635,15.9,71,Germany
Audi,19.5,4.0,4737,185,3322,16.2,72,US
Jaguar,17.4,8.0,1969,299,3427,10.7,70,Japan
Maruthi,18.6,8.0,3788,247,3782,14.6,74,Japan
Toyota,22.6,6.0,1412,203,3103,15.5,70,Japan
Hyundai,16.1,4.0,1662,280,4330,14.2,77,India
Honda,21.6,6.0,3683,129,2708,8.7,70,Germany
Maruthi,16.3,8.0,1482,241,2934,16.6,80,Japan
Toyota,15.3,6.0,4833,190,3986,12.9,70,Japan
Toyota,24.4,8.0,4878,208,2795,10.1,71,US
Honda,12.8,8.0,2686,263,4282,11.7,71,US
Jaguar,11.4,6.0,2630,244,4356,7.4,75,Germany
Toyota,21.6,6.0,1287,177,4120,8.4,76,Germany
Hyundai,11.0,4.0,2267,177,3951,15.4,74,South Korea
Toyota,22.6,4.0,1660,270,3037,7.0,70,US
Toyota,16.6,6.0,3525,282,3584,11.6,70,South Korea
Toyota,23.7,4.0,4954,285,1964,12.7,72,India
Kia,20.8,8.0,3668,295,2798,7.6,71,South Korea
Kia,19.2,8.0,2924,283,4367,17.7,74,Japan
Jaguar,24.2,6.0,2576,200,3107,9.5,79,South Korea
Maruthi,15.9,4.0,3943,145,4364,10.3,75,Germany
Toyota,24.3,4.0,1714,289,2456,10.3,76,India
Audi,12.0,4.0,1902,99,4460,9.5,73,Japan
Maruthi,17.3,6.0,2853,287,4011,7.0,76,South Korea
Jaguar,14.0,6.0,3266,90,3709,15.0,80,India
Tata,18.1,8.0,1222,225,3846,17.6,77,India
Maruthi,12.4,4.0,3660,287,3911,9.5,80,Japan
Maruthi,22.6,8.0,2253,259,2940,14.3,70,South Korea
BMW,22.7,8.0,3030,230,3689,15.2,75,India
Ford,24.3,4.0,3355,282,2066,16.3,77,India
BMW,12.3,8.0,4638,232,3645,11.6,74,US
Hyundai,19.3,4.0,2504,249,3508,10.3,73,India
Kia,17.1,4.0,4399,103,4093,10.6,71,US
Kia,15.2,6.0,4500,110,4242,14.8,75,South Korea
Ford,15.3,4.0,2334,120,3310,16.0,75,South Korea
Honda,16.2,6.0,3383,244,2275,9.0,80,South Korea
Honda,20.6,6.0,1561,151,2776,11.1,70,Germany
Jaguar,19.0,6.0,4457,127,3007,16.9,78,South Korea
Ford,16.9,4.0,4927,144,2843,15.9,80,India
Maruthi,11.1,6.0,4855,254,3760,17.8,75,Japan
Honda,11.2,6.0,3376,92,2357,15.3,72,US
Toyota,10.0,6.0,3099,245,2817,11.3,73,Germany
Audi,24.5,4.0,2484,197,3405,13.5,80,South Korea
Maruthi,10.1,4.0,1714,219,2682,14.3,73,South Korea
Hyundai,11.5,6.0,1648,86,3994,7.9,72,Japan
Toyota,14.7,4.0,3123,138,2465,13.0,79,Japan
Toyota,22.1,6.0,4375,177,4467,14.8,72,Germany
Ford,24.4,6.0,2706,208,3571,8.8,72,US
Jaguar,21.9,6.0,2447,163,2663,15.6,73,South Korea
Hyundai,20.4,6.0,3055,84,2381,13.4,76,Germany
Honda,17.8,8.0,2073,160,2494,17.5,73,India
Ford,11.3,8.0,4762,232,3051,7.5,78,India
Honda,24.4,8.0,3720,102,3410,9.9,70,Germany
Ford,21.4,8.0,4281,281,3039,13.6,77,South Korea
Ford,19.6,4.0,2628,194,4254,10.3,76,Germany
Ford,21.4,4.0,3549,85,2198,14.9,71,South Korea
Jaguar,20.9,6.0,3478,231,3746,15.3,77,Japan
Ford,19.6,4.0,2954,135,2514,8.1,70,Germany
Tata,24.7,6.0,2122,296,2503,12.7,80,South Korea
Audi,23.6,4.0,4337,237,4346,12.6,78,Germany
Honda,19.7,6.0,4184,225,3514,11.1,78,Germany
Maruthi,20.4,6.0,3359,116,3772,17.3,71,South Korea
BMW,10.8,6.0,2236,236,1881,16.1,76,South Korea
Hyundai,20.0,6.0,2616,267,2403,14.7,79,US
Kia,10.7,8.0,3747,270,3770,14.9,72,Germany
Jaguar,18.8,4.0,4179,217,3510,12.1,76,India
Maruthi,25.0,8.0,3845,193,3846,17.1,79,Germany
Toyota,18.3,4.0,3481,70,2702,14.6,78,Germany
Tata,17.1,8.0,3849,269,2164,15.0,73,South Korea
Kia,14.7,6.0,1513,156,1962,16.5,70,Germany
BMW,11.8,4.0,3813,197,4358,10.0,71,Germany
Maruthi,21.0,4.0,4283,260,3663,15.9,70,India
Kia,12.9,6.0,3456,136,1915,9.1,74,South Korea
Maruthi,11.7,4.0,3197,73,4184,10.8,74,Germany
Tata,16.3,4.0,2237,255,2680,10.7,80,Japan
BMW,21.9,6.0,2856,222,2639,17.8,76,US
Toyota,21.2,6.0,4689,116,3994,16.4,78,India
Ford,10.8,6.0,4708,107,3146,14.7,78,Germany
Honda,16.8,8.0,4648,212,4290,15.0,72,Japan
Toyota,17.8,6.0,4291,260,2836,13.2,72,Germany
Ford,19.7,6.0,3834,90,2742,17.4,72,Germany
Jaguar,19.8,4.0,2978,296,3524,12.5,73,South Korea
Audi,15.5,6.0,2214,126,4134,11.2,77,South Korea
Hyundai,18.4,4.0,2293,186,2937,8.8,75,South Korea
Hyundai,17.2,8.0,4482,250,4327,15.6,77,Japan
Honda,23.3,8.0,2324,115,1821,15.1,70,Germany
BMW,18.0,6.0,1897,211,3549,11.2,77,US
Tata,16.6,4.0,3379,297,2482,7.3,73,India
BMW,16.1,8.0,4894,273,3633,16.2,80,South Korea
Tata,18.6,6.0,2604,214,4167,7.1,70,South Korea
BMW,22.1,4.0,2355,108,1925,14.7,77,Germany
Audi,18.1,4.0,2243,206,2076,17.7,73,Germany
Jaguar,19.9,6.0,3129,168,3799,11.8,75,Japan
Jaguar,21.1,4.0,3783,146,3027,9.6,77,Japan
Ford,17.8,8.0,2213,276,4041,14.8,73,South Korea
Kia,16.4,4.0,1426,279,2495,16.0,72,Germany
Jaguar,23.1,4.0,4425,184,3109,13.0,78,US
Jaguar,16.3,8.0,3028,294,1856,17.6,72,India
Toyota,16.9,4.0,2692,203,1818,7.6,78,Germany
Toyota,24.9,6.0,2021,288,4111,12.6,71,Germany
Ford,10.0,4.0,3223,220,1912,14.9,71,Japan
Kia,12.8,4.0,2070,256,2341,16.5,71,India
Honda,15.8,6.0,3652,160,4494,9.0,75,South Korea
Toyota,24.0,6.0,3449,167,2378,15.8,72,Germany
Honda,11.1,6.0,3285,189,2888,13.1,78,South Korea
Maruthi,10.1,6.0,4189,115,1824,11.4,73,Germany
Toyota,10.8,6.0,2995,107,3372,8.4,70,South Korea
Audi,11.3,4.0,1387,211,3848,16.5,73,India
Kia,10.6,4.0,2280,169,3372,8.7,70,Japan
Ford,17.2,8.0,2140,141,1940,10.4,74,India
Maruthi,18.7,6.0,4291,259,3567,10.2,73,US
Kia,14.1,6.0,3520,104,2447,16.6,77,Japan
Audi,16.0,4.0,4390,216,4035,14.4,77,India
Kia,11.4,4.0,3830,99,2000,15.8,76,US
Audi,15.0,6.0,3763,147,2056,9.8,72,Germany
Audi,17.8,8.0,4492,153,2346,13.9,70,Germany
Honda,21.0,6.0,1725,182,4041,13.3,70,South Korea
BMW,10.1,8.0,4786,94,2601,16.2,80,Japan
Maruthi,17.0,6.0,4999,237,2741,17.0,72,Germany
Kia,14.5,4.0,1535,157,2213,7.1,75,Japan
Tata,22.8,4.0,3945,83,3814,14.4,76,Germany
Maruthi,20.7,4.0,2278,223,3181,7.6,75,South Korea
BMW,18.8,4.0,3747,171,2898,13.0,75,India
Maruthi,14.2,8.0,4147,284,2709,10.2,75,South Korea
Jaguar,23.7,6.0,4013,219,1987,10.4,72,US
Tata,10.7,6.0,3783,245,3815,10.9,75,Germany
BMW,11.6,4.0,1361,152,3113,13.8,77,US
Honda,15.9,4.0,4941,179,3892,10.7,80,US
Kia,11.9,4.0,1793,248,3930,15.1,80,Japan
Hyundai,24.3,4.0,3138,200,2946,11.4,71,Germany
BMW,22.0,6.0,3406,239,2157,7.8,74,US
Ford,13.9,4.0,4459,88,3351,15.6,70,India
Kia,18.8,6.0,1259,270,2889,10.1,70,US
BMW,24.7,4.0,4162,97,3480,11.8,74,India
Jaguar,23.3,4.0,4590,281,4222,14.5,72,Japan
Hyundai,19.0,4.0,3101,242,1961,10.7,73,US
Jaguar,23.6,6.0,3458,140,4169,7.6,72,South Korea
Hyundai,24.8,6.0,1605,275,2249,11.1,70,Japan
Ford,21.2,4.0,1863,132,3297,17.4,70,India
Kia,11.0,4.0,2332,142,2836,14.1,74,Japan
Honda,16.0,6.0,2299,193,4031,14.4,75,US
Jaguar,22.6,4.0,1741,188,3958,14.0,72,Germany
Jaguar,13.5,4.0,2537,190,3750,9.2,78,Germany
Audi,22.5,8.0,2197,88,4355,11.6,74,India
Hyundai,11.8,6.0,2340,244,3113,15.3,77,India
Toyota,10.7,4.0,4174,211,4142,8.1,70,Germany
Kia,15.8,8.0,2067,189,3038,10.1,74,India
Hyundai,10.6,6.0,4975,235,2773,10.0,72,Japan
Audi,24.4,4.0,3266,250,2431,11.8,70,South Korea
Maruthi,22.4,6.0,1631,130,3390,17.8,73,South Korea
Hyundai,22.0,6.0,4956,233,2850,7.7,74,Japan
Honda,19.4,4.0,1939,237,3388,12.7,76,South Korea
Kia,13.2,4.0,2573,278,4168,9.0,70,US
Audi,17.8,4.0,1382,99,3493,17.7,72,Japan
Maruthi,19.0,6.0,3360,78,2236,8.2,71,India
Tata,17.9,4.0,2406,133,3356,11.4,78,Japan
Audi,13.9,8.0,3728,230,2876,15.1,79,Germany
Tata,17.7,6.0,2369,189,3104,14.8,75,India
Kia,17.4,4.0,2030,121,3878,11.7,79,Germany
Jaguar,24.9,6.0,2851,158,4184,10.8,72,India
Audi,23.5,4.0,2336,211,1982,11.4,77,South Korea
Ford,17.0,6.0,4010,272,4391,9.9,77,Japan
Tata,19.3,6.0,1675,122,3269,9.3,71,US
Honda,21.2,4.0,4010,296,3279,12.3,75,India
Ford,10.5,6.0,2526,256,3389,10.0,76,India
BMW,23.4,4.0,2170,147,3387,10.2,71,Germany
BMW,22.9,4.0,2219,291,2459,14.2,80,South Korea
Maruthi,16.9,4.0,2341,110,1959,17.7,79,Germany
Jaguar,15.9,4.0,3036,265,4259,13.6,71,Germany
Kia,14.1,8.0,1360,137,2811,7.8,79,South Korea
Audi,17.2,4.0,3648,289,1852,7.8,70,US
Toyota,10.7,4.0,1397,77,4255,17.5,77,Germany
Honda,22.8,6.0,2483,71,2845,10.3,70,Germany
Tata,10.5,4.0,1859,174,2853,8.0,78,India
Kia,14.9,8.0,2975,194,4107,13.6,80,South Korea
Ford,24.0,6.0,2270,179,3028,13.9,75,Japan
BMW,21.0,6.0,3210,155,3294,14.1,76,US
Honda,14.2,4.0,1598,238,3289,9.9,79,US
Toyota,13.8,4.0,2933,189,2835,7.2,76,South Korea
Audi,10.1,4.0,2782,196,3750,17.6,79,India
Maruthi,20.4,8.0,3325,252,2649,9.8,72,India
Toyota,10.7,4.0,3371,85,2153,14.4,71,South Korea
Honda,18.0,4.0,1274,290,2898,14.8,78,India
Toyota,24.4,8.0,3384,131,3539,13.7,77,US
Honda,11.6,6.0,1801,182,3264,10.4,79,US
Honda,23.4,4.0,4671,245,2790,10.0,76,Japan
Hyundai,24.9,4.0,2036,227,3064,13.6,78,South Korea
Tata,10.9,8.0,2728,81,3684,16.5,73,Germany
BMW,23.2,4.0,1699,104,3609,17.4,73,Germany
Hyundai,17.7,6.0,2796,80,4141,8.2,70,Japan
Audi,23.6,6.0,1337,133,4056,8.7,77,Japan
Hyundai,18.6,4.0,3297,119,2911,17.4,72,India
Jaguar,19.9,6.0,2994,282,2617,15.1,76,Japan
Jaguar,18.2,4.0,2172,218,3599,16.7,71,Japan
BMW,23.0,4.0,2842,138,3760,9.2,71,Germany
Toyota,21.0,6.0,4896,117,4237,13.5,76,India
Tata,17.8,8.0,3085,89,4172,14.7,75,Japan
BMW,23.0,6.0,3501,170,2688,14.5,72,Japan
Honda,13.7,6.0,4901,264,3655,11.5,78,India
Ford,12.4,4.0,3228,241,2980,7.2,79,South Korea
Tata,12.4,4.0,3957,230,2467,13.4,75,India
Tata,15.0,4.0,3100,270,2432,9.8,79,Germany
Honda,13.6,4.0,3810,258,4424,12.0,79,South Korea
Honda,24.0,4.0,4004,206,3442,17.5,75,US
Maruthi,11.6,4.0,2649,137,1936,11.4,70,India
BMW,20.5,4.0,1746,104,3746,16.2,73,Germany
Honda,12.8,4.0,4573,278,3497,9.1,79,South Korea
Jaguar,23.2,6.0,2121,295,2227,14.4,75,India
Audi,24.4,8.0,1780,285,3275,17.7,75,Japan
Ford,17.0,4.0,2572,293,4459,8.1,80,India
BMW,23.2,8.0,3156,134,2618,7.1,74,US
Kia,10.1,8.0,3203,77,3988,11.8,70,India
Jaguar,22.3,4.0,3296,114,2906,8.0,77,South Korea
Toyota,13.4,6.0,4164,156,4024,15.2,74,South Korea
Honda,23.6,6.0,4345,244,1997,17.1,74,India
Kia,10.0,6.0,1903,237,4471,11.8,76,South Korea
Honda,18.3,4.0,3508,145,3795,9.8,73,Japan
Tata,21.3,6.0,3603,251,4248,11.8,75,India
Jaguar,13.9,4.0,4853,145,2270,15.0,73,Japan
Tata,12.9,6.0,2825,243,4065,7.1,72,Japan
Maruthi,11.3,6.0,4531,116,3748,13.5,76,Germany
Tata,14.9,6.0,1837,84,2728,13.7,77,India
Maruthi,18.4,6.0,3990,174,3810,14.0,73,South Korea
Maruthi,11.7,6.0,4566,216,4479,9.7,71,Japan
Kia,15.7,4.0,2209,95,2705,14.9,79,Germany
Honda,10.1,4.0,4178,121,4022,8.0,72,India
Toyota,22.3,8.0,1840,162,1822,9.2,70,India
Tata,11.9,4.0,4039,219,2034,16.7,77,US
Jaguar,14.3,4.0,4584,90,2924,15.1,72,US
Maruthi,10.3,4.0,3859,120,2728,7.2,79,Japan
Honda,16.5,4.0,3061,107,2322,9.7,76,US
Ford,22.6,8.0,4056,89,3608,9.4,79,Japan
BMW,15.9,6.0,2405,226,2230,10.0,74,South Korea
Kia,12.7,8.0,1885,248,2592,9.7,79,Japan
Toyota,21.3,6.0,3051,201,3429,7.7,74,US
Hyundai,21.8,6.0,4635,124,3536,12.0,76,South Korea
Kia,12.6,4.0,1387,268,2332,15.1,78,US
Ford,21.6,6.0,4840,161,3546,13.7,74,Japan
BMW,24.2,4.0,4814,97,3475,14.4,70,Germany
Ford,12.5,8.0,2819,73,3116,7.9,79,India
Tata,21.6,8.0,2887,219,2712,17.5,79,US
Maruthi,20.6,4.0,2184,145,2924,16.2,70,Japan
Toyota,17.1,8.0,1747,242,3325,15.9,71,South Korea
Audi,10.9,8.0,3972,136,3127,16.1,75,US
Maruthi,11.1,6.0,4173,155,4387,17.3,78,US
Audi,22.8,4.0,2631,263,2823,13.0,77,India
BMW,24.9,6.0,2075,285,3376,9.2,74,Japan
Honda,20.1,6.0,1817,231,3178,13.8,70,Germany
Hyundai,16.7,4.0,3661,160,3319,15.2,76,South Korea
Jaguar,19.7,4.0,2565,252,3481,15.1,74,Japan
Maruthi,18.9,6.0,2443,174,3797,12.7,75,South Korea
Toyota,15.8,4.0,2102,70,2026,7.8,76,US
Ford,11.0,6.0,1362,141,3059,11.1,72,India
Toyota,22.3,8.0,3174,156,2672,17.1,79,India
BMW,15.6,8.0,4491,235,2691,13.4,72,Germany
Audi,22.3,4.0,1469,75,3278,12.9,74,India
Ford,13.8,8.0,1831,283,2836,10.0,75,US
Jaguar,10.0,4.0,2105,222,4057,11.1,78,Germany
Jaguar,12.4,4.0,4671,279,2196,16.8,74,Japan
Maruthi,17.0,6.0,4453,214,2923,14.3,70,India
BMW,24.2,4.0,3214,130,3878,15.7,73,Germany
Honda,11.5,4.0,2841,81,2448,12.0,74,US
BMW,22.8,6.0,5000,75,2128,13.9,79,South Korea
Audi,17.9,4.0,1404,287,3282,9.7,79,South Korea
Toyota,22.4,4.0,1781,96,2751,14.8,74,US
Jaguar,14.5,6.0,2779,205,3805,11.7,76,US
Toyota,22.6,6.0,2040,280,3816,11.9,73,South Korea
Toyota,21.6,6.0,3036,193,4468,14.1,70,Germany
Toyota,13.5,4.0,2451,175,3678,17.3,74,South Korea
Jaguar,12.0,4.0,2919,262,2996,7.7,76,US
Kia,23.0,4.0,2842,254,3572,16.1,79,India
Tata,24.4,4.0,3843,162,1961,10.2,79,Japan
Audi,10.5,6.0,3497,178,3551,11.9,75,India
Kia,21.0,4.0,2074,168,2575,7.2,74,India
Audi,23.6,4.0,2664,237,3627,10.3,73,US
Ford,22.9,6.0,4804,211,4121,12.5,71,South Korea
BMW,24.5,6.0,3443,104,2851,7.6,73,Germany
